School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
105,Te Aroha College,07-8848625,finance@tacol.nz,Neil Harray,http://www.tearoha.school.nz,106 Stanley Avenue,,Te Aroha,PO Box 218,,Te Aroha,3342,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
106,Katikati College,07-5490434,info@katikaticollege.school.nz,Louise Buckley,http://www.katikaticollege.school.nz,Beach Road,,Katikati,Beach Road,,Katikati,3129,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
107,Mount Maunganui College,07-5753096,traceys@mmc.school.nz,Alastair Sinton,http://www.mmc.school.nz,565 Maunganui Road,,Mount Maunganui,565 Maunganui Road,,Mount Maunganui,3116,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
108,Huntly College,07-8287152,admin@huntlycollege.school.nz,Rachael Parker,http://www.huntlycollege.school.nz,Bridge Street,,Huntly,PO Box 151,,Huntly,3740,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
109,Ōtūmoetai College,07-5762316,office@otc.school.nz,Russell Gordon,http://www.otc.school.nz,105 Windsor Road,Tauranga Central,Tauranga,PO Box 8033,Cherrywood,Tauranga,3145,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
110,Tauranga Boys' College,07-5784029,tbc@tbc.school.nz,Andrew Turner,http://www.tbc.school.nz,664 Cameron Road,,Tauranga,664 Cameron Road,Tauranga South,Tauranga,3112,Major urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Whenua
111,Tauranga Girls' College,07-5788114,info@tgc.school.nz,Tara Kanji,http://www.tgc.school.nz,930 Cameron Road,Gate Pa,Tauranga,930 Cameron Road,Gate Pa,Tauranga,3112,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Whenua
112,Te Puke High School,07-5739769,,Alan Liddle,http://www.tepuke.school.nz/,19 Tui Street,,Te Puke,PO Box 344,,Te Puke,3153,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
113,Matamata College,07-8819018,tfo@matcol.nz,Angela Sharples,https://www.matcol.nz/,Firth Street,,Matamata,Private Bag 4070,,Matamata,3440,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
114,Raglan Area School,07-8258140,principal@raglanarea.school.nz,Louisa Barham,http://www.raglanarea.school.nz,42 Norrie Avenue,,Raglan,PO Box 80,,Raglan,3265,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
115,Morrinsville College,07-8898308,tania-conder@morrcoll.school.nz,Scott Jenkins,http://www.morrcoll.school.nz,Alexandra Avenue,,Morrinsville,PO Box 325,,Morrinsville,3340,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
116,Ngaruawahia High School,07-8248729,admin@ngaruawahiahigh.school.nz,Rebecca Hodgson,http://www.ngaruawahiahigh.school.nz/,56 Kent Street,,Ngaruawahia,PO Box 136,,Ngaruawahia,3742,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
117,Fairfield College,07-8535660,adminfc@faircol.school.nz,Richard Crawford,http://www.faircol.school.nz,25 Bankwood Road,Chartwell,Hamilton,PO Box 12228,Chartwell Square,Hamilton,3248,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
118,St Paul's Collegiate (Hamilton),07-9578899,h.bradford@stpauls.school.nz,Ben Skeen,http://www.stpauls.school.nz/,77 Hukanui Road,Chartwell,Hamilton,77 Hukanui Road,Chartwell,Hamilton,3240,Major urban area,Secondary (Year 9-15),,Private : Fully Registered,Boys/Senior Co-Ed,,Te Tai Whenua
119,Hamilton Boys' High School,07-8530440,info@hbhs.school.nz,Jarred Williams,http://www.hbhs.school.nz,Peachgrove Road,,Hamilton,Private Bag 3201,Waikato Mail Centre,Hamilton,3240,Major urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Whenua
120,Hamilton Girls' High School,07-8391304,principal@hghs.school.nz,Marie Gordon,http://www.hghs.school.nz,Ward Street,,Hamilton,PO Box 1267,Waikato Mail Centre,Hamilton,3240,Major urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Whenua
121,Raphael House Rudolf Steiner Area School,04-5695161,marcelly.r@raphaelhouse.school.nz,Karyn Gray,http://www.raphaelhouse.school.nz,27 Matuhi Street,Belmont,Lower Hutt,27 Matuhi Street,Tirohanga,Lower Hutt,5010,Major urban area,Composite,,State : Integrated,Co-Educational,,Te Tai Runga
122,Flaxmere College,06-8799833,office@flaxcol.co.nz,Cherie Heeney,http://www.flaxmerecollege.co.nz,Henderson Road,Flaxmere,Hastings,Henderson Road,Flaxmere,Hastings,4120,Large urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
123,Fraser High School,07-8479044,office@fraser.school.nz,Virginia Crawford,http://www.fraser.school.nz,72 Ellicott Road,Dinsdale,Hamilton,PO Box 15121,Dinsdale,Hamilton,3243,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
124,St John's College (Hillcrest),07-8567091,secretary@stjohns-hamilton.school.nz,Shane Tong,http://www.stjohns-hamilton.school.nz,85 Hillcrest Road,Hillcrest,Hamilton,PO Box 11086,Hillcrest,Hamilton,3251,Major urban area,Secondary (Year 9-15),,State : Integrated,Boys School,,Te Tai Whenua
125,Hillcrest High School,07-8570297,office@hillcrest-high.school.nz,Christine Williams,http://www.hillcrest-high.school.nz,141 Masters Avenue,Hillcrest,Hamilton,PO Box 11020,Hillcrest,Hamilton,3251,Major urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
126,Sacred Heart Girls' College (Ham),07-8567874,areid@shgcham.school.nz,Dean Rogers (Acting),http://www.shgcham.school.nz,52 Clyde Street,Hamilton East,Hamilton,PO Box 4064,Hamilton East,Hamilton,3247,Major urban area,Secondary (Year 9-15),,State : Integrated,Girls School,,Te Tai Whenua
127,Waikato Diocesan School For Girls,07-8552038,principal@wdsg.school.nz,Angee Robertson,http://www.waikatodiocesan.school.nz/,660 River Road,,Hamilton,Private Bag 3051,Waikato Mail Centre,Hamilton,3240,Major urban area,Secondary (Year 9-15),,State : Integrated,Girls School,,Te Tai Whenua
128,St Peter's School (Cambridge),07-8279899,info@stpeters.school.nz,Julie Small,http://www.stpeters.school.nz,1716 Cambridge Road,,Cambridge,Private Bag 884,,Cambridge,3450,Medium urban area,Secondary (Year 7-15),,Private : Fully Registered,Co-Educational,,Te Tai Whenua
129,Cambridge High School,07-827 5415,kvr@camhigh.school.nz,Paul McAvoy (Acting),http://www.camhigh.school.nz,25 Swayne Road,,Cambridge,Private Bag 882,,Cambridge,3450,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
130,Trident High School,07-3088159,pa@trident.school.nz,Mikaere October,http://www.trident.school.nz,76 Arawa Road,,Whakatane,Arawa Road,,Whakatane,3120,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
131,Whakatane High School,07-3088251,admin@whakatanehigh.school.nz,Peter Barsdell,http://www.whakatanehigh.school.nz,56 Goulstone Road,,Whakatane,Private Bag 1021,,Whakatane,3158,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
132,Rangitaiki College – Te Kura Tuarua o Rangitaiki,07-3048211,info@edgecumbecollege.school.nz,Shelley Power (Acting),http://www.edgecumbecollege.school.nz,100 College Road,,Edgecumbe,100 College Road,,Edgecumbe,3120,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
133,Te Awamutu College,07-8714199,info@tac.school.nz,Tony Membery,http://www.tac.school.nz/,938 Alexandra Street,,Te Awamutu,PO Box 369,,Te Awamutu,3840,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
134,Opotiki College,07-3157022,admin@opotikicol.school.nz,Glenn Phipps,http://www.opotikicol.school.nz,22 St John Street,,Opotiki,PO Box 146,,Opotiki,3162,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
135,Western Heights High School,07-3495940,admin@whhs.school.nz,James Bracefield,http://www.whhs.school.nz,70 Old Quarry Road,Rotorua Central,Rotorua,PO Box 642,,Rotorua,3040,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
136,Rotorua Boys' High School,07-3486169,info@rbhs.school.nz,John Kendal,http://www.rbhs.school.nz,1612 Pukuatua Street,,Rotorua,PO Box 10148,Rotorua Mail Centre,Rotorua,3046,Large urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Whenua
137,Rotorua Girls' High School,07-3480156,principal@rghs.school.nz,Sarah Riley (Acting),http://www.rghs.school.nz,251 Old Taupo Road,Hillcrest,Rotorua,PO Box 518,,Rotorua,3010,Large urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Whenua
138,Rotorua Lakes High School,07-3456124,office@rotorualakes.school.nz,Gwyneth Cooper,http://www.rotorualakes.school.nz,Porikapa Road,Te Ngae,Rotorua,PO Box 7002,Te Ngae,Rotorua,3042,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
139,Ōtorohanga College,07-8738029,pa@otocoll.school.nz,Lyndsay Kurth (Acting),http://www.otocoll.school.nz,Bledisloe Avenue,,Otorohanga,PO Box 115,,Otorohanga,3940,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
140,Tokoroa High School,07-8866109,info@tokoroahigh.school.nz,William Ford,http://www.tokoroahigh.school.nz/,Billah Street,,Tokoroa,Private Bag,,Tokoroa,3444,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
141,Forest View High School,07-8865219,admin@fvhs.school.nz,Andrew Bramston,https://www.fvhs.school.nz,Baird Road,,Tokoroa,PO Box 644,,Tokoroa,3444,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
142,Te Kuiti High School,07-8786292,gw@tkhs.school.nz,Gareth Williams,http://www.tkhs.school.nz/,Hospital Road,,Te Kuiti,PO Box 264,,Te Kuiti,3941,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
143,Benneydale School,07-878 4829,office@benneydale.school.nz,Steven Bodger,,Mine Road,,Benneydale,Counter Delivery,Benneydale Postcentre,Benneydale,3944,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
144,Piopio College,07-8778173,principal@piopio.school.nz,Ben Draper,http://www.piopio.school.nz,18 Aria Road,,Piopio,18 Aria Road,,Piopio,3912,Rural settlement,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
145,Reporoa College,07-3338117,kfairley@reporoa.school.nz,Matt Melvin,http://www.reporoa.school.nz/,45 Massey Road,,Reporoa,PO Box 16,,Reporoa,3060,Rural other,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
146,Tauhara College,07-3789304,bl@tauhara.school.nz,Ben Hancock,http://www.tauhara.school.nz,101 Invergarry Road,,Taupo,PO Box 945,,Taupo,3351,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
147,Taupo-nui-a-Tia College,07-3761100,mail@taupocollege.ac.nz,Ben Claxton,http://www.taupocollege.ac.nz,122 Spa Road,,Taupo,PO Box 549,,Taupo,3351,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
148,Taumarunui High School,07-8957179,office@taumarunuihighschool.co.nz,John Rautenbach,http://www.nuihigh.com,202 Golf Road,,Taumarunui,PO Box 216,,Taumarunui,3946,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
149,Waitara High School,06-7547514,office@waitarahs.school.nz,Daryl Warburton,http://waitarahs.school.nz,18 Princess Street,,Waitara,PO Box 188,,Waitara,4346,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
150,New Plymouth Boys' High School,06-7585399,executive.assistant@npbhs.school.nz,Sam Moore,http://www.npbhs.school.nz,107 Coronation Avenue,,New Plymouth,Private Bag 2028,New Plymouth Central,New Plymouth,4342,Large urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Whenua
151,New Plymouth Girls' High School,06-7573899,admin@npghs.school.nz,Jacqui Brown,http://www.npghs.school.nz,60 Northgate,,New Plymouth,Private Bag 2049,New Plymouth Central,New Plymouth,4342,Large urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Whenua
152,Spotswood College,06-7512416,admin@spotswoodcollege.school.nz,Nicola Ngarewa,http://spotswoodcollege.school.nz,129 South Road,,New Plymouth,PO Box 6116,Moturoa,New Plymouth,4344,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
153,Sacred Heart Girls' College (N Plymouth),06-7585023,admin@shgcnp.school.nz,Barbara Costelloe,http://www.shgcnp.school.nz,9 Pukaka Street,Fitzroy,New Plymouth,PO Box 3241,Fitzroy,New Plymouth,4341,Large urban area,Secondary (Year 7-15),,State : Integrated,Girls School,,Te Tai Whenua
154,Francis Douglas Memorial College,06-7536149,office@fdmc.school.nz,Tim Stuck,http://www.fdmc.school.nz,201 Tukapa Street,Westown,New Plymouth,PO Box 5124,Westown,New Plymouth,4343,Large urban area,Secondary (Year 7-15),,State : Integrated,Boys School,,Te Tai Whenua
155,Ohura Valley Primary,07-8938839,office@ohuravalley.school.nz,C Matheison,,1 Mangaparo Road,,Ohura,1 Mangaparo Road,,Ohura,3926,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
156,Inglewood High School,06-7568148,office@inglewoodhs.school.nz,Rosemary Mabin,http://www.inglewoodhs.school.nz,129 Rata Street,,Inglewood,PO Box 215,,Inglewood,4347,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
157,Stratford High School,06-765 6039,mail@stratfordhigh.school.nz,Cameron Stone,http://www.stratfordhigh.school.nz,Swansea Road,,Stratford,PO Box 204,,Stratford,4352,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
158,Taranaki Diocesan School for Girls,06-7655333,office@taranakidio.school.nz,Maria Taylor,https://www.taranakidio.school.nz,61 Broadway North,,Stratford,Private Bag 714,,Stratford,4352,Small urban area,Secondary (Year 9-15),,State : Integrated,Girls School,,Te Tai Whenua
159,Opunake High School,06-7618723,admin@opunake.school.nz,Andrea Hooper Carr,http://www.opunake.school.nz/,Tasman Street,,Opunake,PO Box 4,,Opunake,4645,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
160,Ruapehu College,06-3858398,finance@ruapehu.school.nz,Kris Vine,http://www.ruapehucollege.school.nz/,30 Tainui Street,,Ohakune,30 Tainui Street,,Ohakune,4625,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
161,Patea Area School,06-2738099,pas@pateaarea.school.nz,James Davidson,http://www.pateaarea.school.nz,Kent Street,,Patea,PO Box 83,,Patea,4545,Small urban area,Composite,,State,Co-Educational,,Te Tai Whenua
162,Whanganui City College,06-3490180,office@wcc.school.nz,Eugene van Heerden (Acting),http://www.wcc.school.nz,84 Ingestre Street,,Whanganui,PO Box 4010,,Whanganui,4541,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
163,Whanganui Girls' College,06-3490944,admin@wgc.ac.nz,Nita Pond,http://www.whanganui-girls.school.nz,21 Jones Street,Whanganui East,Whanganui,Private Bag 3004,Whanganui,Whanganui,4540,Large urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Whenua
164,Whanganui High School,06-3490178,principal@whs.ac.nz,Martin McAllen,http://www.whanganuihigh.school.nz,76 Purnell Street,,Whanganui,PO Box 4022,,Whanganui,4541,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
165,Cullinane College,06-349 0105,office@cullinane.school.nz,Tony McBride,http://www.cullinanecollege.school.nz,15 Peat Street,,Whanganui,PO Box 5017,Aramoho,Whanganui,4542,Large urban area,Secondary (Year 9-15),,State : Integrated,Co-Educational,,Te Tai Whenua
166,Longburn Adventist College,06-3541059,reception@lac.school.nz,Rosalind Burnett,http://www.lac.school.nz,100 Walkers Road,Longburn,Palmerston North,PO Box 14001,Longburn,Palmerston North,4866,Rural other,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Whenua
167,Whanganui Collegiate School,06-3490210,admin@collegiate.school.nz,Ainsley Robson,http://www.collegiate.school.nz,132 Liverpool Street,,Whanganui,Private Bag 3002,Whanganui Mail Centre,Whanganui,4540,Large urban area,Secondary (Year 9-15),,State : Integrated,Co-Educational,,Te Tai Whenua
168,Rangitīkei College,06-3277024,admin@rangitikeicollege.school.nz,Penny Keet,http://www.rangitikeicollege.school.nz,Bredins Line,,Marton,24 Bredins Line,,Marton,4710,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
169,Nga Tawa Diocesan School,06-3276429,admin@ngatawa.school.nz,Lesley Carter,http://www.ngatawa.school.nz,164 Calico Line,,Marton,Private Bag 1101,,Marton,4741,Small urban area,Secondary (Year 9-15),,State : Integrated,Girls School,,Te Tai Whenua
170,Feilding High School,06-3234029,principals.pa@feildinghigh.school.nz,Nathan Stewart,http://www.feildinghigh.school.nz,Churcher Street,,Feilding,1 Churcher Street,,Feilding,4702,Medium urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
171,Awatapu College,06-3564817,pa@awatapu.school.nz,Gary Yeatman,http://www.awatapu.school.nz,434 Botanical Road,West End,Palmerston North,434 Botanical Road,West End,Palmerston North,4412,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
172,Hato Paora College,06-3289731,kmcdowell@hatopaora.school.nz,Kahurangi Falaoa,http://www.hatopaora.school.nz,1314 Kimbolton Road,,Feilding,1314 Kimbolton Road RD 7,,Feilding,4777,Rural other,Secondary (Year 9-15),Secondary Māori Boarding School,State : Integrated,Boys School,,Te Tai Whenua
173,Freyberg High School,06-3584971,office@freyberg.ac.nz,Graeme Williams,http://www.freyberg.ac.nz,Freyberg Street,Roslyn,Palmerston North,Freyberg Street,Roslyn,Palmerston North,4414,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Whenua
174,Queen Elizabeth College,06-3589033,office@qec.school.nz,Chris Moller,http://www.qec.school.nz,Rangitikei Street,,Palmerston North,PO Box 4047,Manawatu Mail Centre,Palmerston North,4442,Large urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Whenua
175,Palmerston North Boys' High School,06-354 5176,admin@pnbhs.school.nz,David Bovey,http://www.pnbhs.school.nz,Featherston Street,,Palmerston North,PO Box 4049,Manawatu Mail Centre,Palmerston North,4442,Large urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Whenua
176,Palmerston North Girls' High School,06-3579194,office@pnghs.school.nz,Tracy Walker,http://www.pnghs.school.nz,Fitzherbert Avenue,,Palmerston North,Fitzherbert Avenue,,Palmerston North,4410,Large urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Whenua
177,St Peter's College (Palmerston North),06-3544198,,Jared Ratana (Acting),http://www.stpeterspn.school.nz,Holdsworth Avenue,Milson,Palmerston North,3 Holdsworth Avenue,Milson,Palmerston North,4414,Large urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Whenua
178,Manawatū College,06-3636550,office@manawatucollege.school.nz,Matthew Fraser,http://www.manawatucollege.school.nz,Ladys Mile,,Foxton,PO Box 62,,Foxton,4848,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Runga
