Sr No,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),County Description,Email,Phone No.,Principal Name,Local Authority Description,Ethos Description,Female,Male,Total
161,BLESSINGTON 1 N S,Blessington Demesne,Blessington,Co Wicklow,Wicklow,blessington1ns@gmail.com,045900879,Lilian Murphy,Wicklow County Council,Church Of Ireland,88,107,195
162,BOOTERSTOWN BOYS,Grotto Place,Booterstown,Blackrock,Dublin,principal@stmarysbooterstown.ie,012886830,Noel Scully,Dun Laoghaire Rathdown,Catholic,,189,189
163,ATHY MODEL SCHOOL,Tomard,Athy,Co. Kildare,Kildare,office@athymodelschool.ie,0598638545,Karyn Cole,Kildare County Council,Church Of Ireland,40,50,90
164,SN MHAOLCHEADAIR,An Charraig,Baile na nGall,Co. Chiarraí,Kerry,scoilmch@gmail.com,0669155341,Deirdre Ághas,Kerry County Council,Catholic,16,15,31
165,FREEMOUNT MIXED N S,Freemount,Charleville,Co. Cork,Cork,office@freemountns.com,02228834,Laura O'Hara,Cork County Council,Catholic,43,45,88
166,VICARSTOWN MIXED N S,Gilclough,Vicarstown,Co. Cork,Cork,office@vicarstownns.com,0217332179,Peter Mulcahy,Cork County Council,Catholic,91,76,167
167,S N AN TSAILEAIN,Sylane,Tuam,Co. Galway,Galway,principal@sylanens.ie,09355540,Sinéad Cleary,Galway County Council,Catholic,36,54,90
168,KILDIMO NATIONAL SCHOOL,Kildimo,Co. Limerick,,Limerick,info@kildimons.ie,061394500,Ciara McNamara,Limerick County Council,Catholic,64,74,138
169,KNOCKEA NATIONAL SCHOOL,Knockea,Ballyneety,Co. Limerick,Limerick,principal@knockeans.ie,061351414,Niamh Ambrose,Limerick County Council,Catholic,89,102,191
170,DROMIN N S,Dromin,Dunleer,Co. Louth,Louth,secretary@drominns.ie,0416851564,Seán Clare,Louth County Council,Catholic,50,47,97
171,Ringville National School,Ballinlaw,Slieverue,Co Kilkenny,Kilkenny,secretary@ringvillens.ie,051832635,Joann Phelan,Kilkenny County Council,Catholic,13,22,35
172,KILADANGAN N S,Kiladangan National School,Puckane,Nenagh,Tipperary,kiladanganns@gmail.com,06724030,Patrick Gallagher,Tipperary (Nr) County Council,Catholic,57,66,123
173,LISRONAGH N S,Lisronagh,Clonmel,Co. Tipperary,Tipperary,lisronaghns63@gmail.com,0526122167,Claire Keane,Tipperary (Sr) County Council,Catholic,49,57,106
174,GARRACLOON N S,Garracloon,Cloghans,Ballina,Mayo,garracloon.ns@gmail.com,09673208,Sinead Mc Hale,Mayo County Council,Catholic,11,14,25
175,ST JOHNS CONVENT,Cathedral Place,Limerick,,Limerick,johnslimerick@gmail.com,061416752,Aoibheann Ruane,Limerick City Council,Catholic,168,55,223
176,CLONROCHE N S,Clonroche,Enniscorthy,Co. Wexford,Wexford,info@clonrochens.ie,0539244441,John Ryan,Wexford County Council,Catholic,48,59,107
177,St Patrick's NS,Corlough,Belturbet,C/O Belturbet Post Office,Cavan,stpatrickscorlough@gmail.com,0499523655,Fionnuala Murphy,Cavan County Council,Catholic,20,27,47
178,BALLYCLOUGH MIXED N S,Ballyclough,Mallow,Co Cork,Cork,office@ballycloughns.com,02227857,Maria O Mahony,Cork County Council,Catholic,51,60,111
179,CULLENS N S,Faranoo,Ballina,Co. Mayo,Mayo,info@culleensballina.ie,09622084,Sinead Caffrey,Mayo County Council,Catholic,138,135,273
180,S N NAOMH FEICHIN,Cross,Claremorris,Co. Mayo,Mayo,crossns1854@gmail.com,0949546321,Sinead Muldoon,Mayo County Council,Catholic,30,17,47
181,S N LOCH GUIR,Patrickswell,Bruff,Co. Limerick,Limerick,loughgurns@gmail.com,061385004,Julie McCormack,Limerick County Council,Catholic,6,0,6
182,KILLYON N S,Hill of Down,Co. Meath,,Meath,school@killyonns.com,0469546532,Nigel Boardman,Meath County Council,Catholic,25,35,60
183,MONREAGH N S,Monreagh,Carrigans,Co. Donegal,Donegal,monreaghns@gmail.com,0749140445,Kerry Harris,Donegal County Council,Presbyterian,26,22,48
184,ST JOSEPHS GIRLS N.S.,Davitt Road,Mountmellick,,Laois,admin@stjosephsgns.ie,0578624540,Yvonne Murphy,Laois County Council,Catholic,230,,230
185,S N SEOSAMH,Blueball,Tullamore,Co. Offaly,Offaly,gortnamonans@gmail.com,0579354960,Elaine Flynn,Offaly County Council,Catholic,41,56,97
186,BANOGUE NATIONAL SCHOOL,Dohora,Banogue,Croom,Limerick,banoguenationalschool@gmail.com,061397188,Sheila Cagney,Limerick County Council,Catholic,43,54,97
187,CLOGHROE MIXED N S,Cloghroe,Co. Cork,,Cork,oifig@cloghroens.ie,0214385547,Shane Fennessy,Cork City Council,Catholic,258,279,537
188,CULLEN N S,Cullen,Co. Tipperary,,Tipperary,cullenns@gmail.com,06247558,Jeanne Hurley,Tipperary (Sr) County Council,Catholic,8,6,14
189,Ravenswell Primary School,Ravenswell,Bray,Co. Wicklow,Wicklow,office@ravenswell.ie,012860498,Kate Breen,Wicklow County Council,Catholic,230,238,468
190,HOLY FAMILY SNR,Station Road,Ennis,Co. Clare,Clare,info@hfss.ie,0656828893,Jillian Bridge,Clare County Council,Catholic,150,156,306
191,GLENGURT N S,Tournafulla,Ballagh,Co. Limerick,Limerick,john.browne@glengurtns.com,06981120,John Browne,Limerick County Council,Catholic,59,56,115
192,S N SCEICHIN A RINCE,Skeheenarinky,Burncourt,Co. Tipperary,Tipperary,sceichinarince@gmail.com,0527467421,Catherine Kavanagh,Tipperary (Sr) County Council,Catholic,21,19,40
193,BALLINTUBBER N S,Ballintubber,Claremorris,Co. Mayo,Mayo,ballintubber07374G@gmail.com,0949030969,Karen Serantes,Mayo County Council,Catholic,62,51,113
194,BALLYCURRANE N S,Clashmore,via Youghal,Co. Waterford,Waterford,office@ballycurrane.ie,02496533,Kevin Gough,Waterford County Council,Catholic,18,26,44
195,St Josephs National School,Borrin-in-Ossory,Co. Laois,,Laois,borrisinossoryns@gmail.com,050541331,Aidan Keenaghan,Laois County Council,Catholic,49,46,95
196,SCOIL MHUIRE GAN SMAL,Ballygar,Co. Galway,Via Roscommon,Galway,info@ballygarns.com,0906624951,Helene Hanley,Galway County Council,Catholic,43,38,81
197,BROWNEKNOWE N S,Brownknowe,Ramelton,Co. Donegal,Donegal,brownknowens@gmail.com,0749151392,Sara Martin,Donegal County Council,Presbyterian,26,22,48
198,KILMOGANNY MIXED N S,Cottresllstown,Kilmoganny,Co. Kilkenny,Kilkenny,kilmoganny75@gmail.com,051648349,Thomas Hickey,Kilkenny County Council,Catholic,9,14,23
199,S N CNOC AN MHARCAIGH,Melview,Longford,,Longford,melviewschool@gmail.com,0433346197,Bryan Kennedy,Longford County Council,Catholic,129,160,289
200,GOLDENBRIDGE CONVENT,Saint Vincent Street West,Goldenbridge,Inchicore,Dublin,ololns.ias@gmail.com,014541265,Tonya Hanly,Dublin City Council,Catholic,88,100,188
201,BALLINDERREEN MXD N S,Ballinderreen,Kilcolgan,Co. Galway,Galway,info@ballinderreenns.ie,091796632,Barry Quinn,Galway County Council,Catholic,94,88,182
202,S N AN IORBALL RIABAIGH,Urblereagh,Malin Head,Co. Donegal,Donegal,urblereaghschool@gmail.com,0749370237,Ronan Ruddy,Donegal County Council,Catholic,25,15,40
203,ST FINTANS N S,New Line Road,Mountrath,Co. Laois,Laois,saintfintansbns@gmail.com,0578732372,Edel Parkinson,Laois County Council,Catholic,,108,108
204,ST JOSEPH'S GIRLS NATIONAL SCHOOL,Convent Road,Clonakilty,Co. Cork,Cork,info@stjosephsclon.com,0238833050,Conor Mulcahy,Cork County Council,Catholic,192,,192
205,ST PETERS N S SNR,Excise Street,Athlone,Co. Westmeath,Westmeath,Office@stpetersschool.ie,0906492363,Naos Connaughton,Westmeath County Council,Catholic,105,7,112
206,VILLIERSTOWN N S,Villierstown,Cappoquin,Co. Waterford,Waterford,villierstownns@gmail.com,02496301,Josephine O'Neill,Waterford County Council,Catholic,9,8,17
207,MONAGHAN MODEL SCHOOL,North Road,Monaghan,,Monaghan,modelsch.ias@gmail.com,04783070,Alanna Porter,Monaghan County Council,Church Of Ireland,101,98,199
208,CHURCHTOWN N S,Churchtown,Athy,Co. Kildare,Kildare,churchathy@gmail.com,0598632178,Gayle Murphy,Kildare County Council,Catholic,21,34,55
209,KILGOBNET N S,Beaufort,Killarney,Co. Kerry,Kerry,kilgobnetnationalschool@gmail.com,0646644622,Maura O'Connor,Kerry County Council,Catholic,55,37,92
210,S N AILBHE,Killinure,Brittas,Co. Limerick,Limerick,office@killinurens.ie,061351377,Liam Guiney,Limerick County Council,Catholic,82,105,187
211,BALLYSTEEN N S,Ballysteen,Askeaton,Co. Limerick,Limerick,ballysteenns@gmail.com,061398383,Seán Tobin,Limerick County Council,Catholic,9,8,17
212,S N OSMANN,Model School Road,Birr,Co. Offaly,Offaly,secretary@oxmantownschool.ie,0579120706,Violet Barnnell,Offaly County Council,Church Of Ireland,38,48,86
213,SCOIL NAOMH CARTHACH,Ballyfinane,Firies,Killarney,Kerry,ballyfinanens@hotmail.com,0669764044,Catherine O'Shea,Kerry County Council,Catholic,16,26,42
214,TANG N S,Clogher,Tang,Co. Westmeath,Westmeath,info@tangns.ie,0906432495,Caitriona Behan,Westmeath County Council,Catholic,61,56,117
215,ST LAURENCES NATIONAL SCHOOL,Sallins,Co. Kildare,,Kildare,info@sallinsns.ie,045879119,Ide Kelly,Kildare County Council,Catholic,327,319,646
216,S N PHADRAIG,Edmonstown,Killucan,Co. Westmeath,Westmeath,office@edmontonns.ie,0449374411,Kevin Maguire,Westmeath County Council,Catholic,39,35,74
217,S N MHUIRE,Bawn Road,Swanlibar,Co. Cavan,Cavan,office@swanlinbarns.ie,0499521613,Ciara Murphy,Cavan County Council,Catholic,26,31,57
218,Scoil an Ghleanna Scoil Náisiúnta Phobail,Athghort,An Gleann,Baile an Sceilg,Kerry,priomhoide@scoilanghleannapsn.ie,0669479330,Sorcha Ní Chatháin,Kerry County Council,Multi Denominational,13,16,29
219,ST SENANS NATIONAL SCH,Templeshannon,Enniscorthy,Co. Wexford,Wexford,info@stsenansps.ie,0539234169,Fiona Wickham,Wexford County Council,Catholic,215,222,437
220,SCOIL NAOMH MICHEAL,West End,Sneem,Co. Kerry,Kerry,sneemns@gmail.com,0646645000,Áine Murphy,Kerry County Council,Catholic,33,42,75
221,HOLY TRINITY NATIONAL SCHOOL,Newport Road,Westport,Co. Mayo,Mayo,school@holytrinityns.com,09827216,Orla Brickenden,Mayo County Council,Church Of Ireland,22,19,41
222,BOHERMORE N S,Srahane,Ballysimon,Co. Limerick,Limerick,office@bohermorens.ie,061351020,Ciara Sheehy,Limerick County Council,Catholic,34,66,100
223,GORTANUMERA N S,Ballyshrule,Ballinasloe,Co. Galway,Galway,scoilmhuiregortanumera@gmail.com,0909741624,Anne Ryan,Galway County Council,Catholic,27,23,50
224,MASTERSONS N S,Church Lane,Manorhamilton,Co. Leitrim,Leitrim,mastersonns@gmail.com,0719855540,Garvan Jones,Leitrim County Council,Church Of Ireland,18,16,34
225,S N RATH DUBH,Rathduff,Grenagh,Co. Cork,Cork,rathduffnationalschool@gmail.com,0214886388,Alan Dennehy,Cork County Council,Catholic,78,119,197
226,ARDPATRICK N S,Ardpatrick,Kilmallock,Co. Limerick,Limerick,ardpatrickns@gmail.com,06391411,Anne-Marie O'Keeffe,Limerick County Council,Catholic,28,20,48
227,SCOIL NAOMH SEOSAMH,Gortnaclohy,Skibberreen,Co. Cork,Cork,info@stjosephsskibbereen.ie,02821804,Audrey Collins,Cork County Council,Catholic,180,2,182
228,SN Tullach Ui Chadhain,Tulach Uí Chadhain,Maigh Cuilinn,Co. na Gaillimhe,Galway,office@tullokynens.ie,091555601,Brian MacLochlainn,Galway County Council,Catholic,30,35,65
229,S N CRUABANAI,Crubany,Co. Cavan,,Cavan,crubanynationalschool@gmail.com,0494362202,Colm Naughton,Cavan County Council,Catholic,82,92,174
230,ST CLARES PRIMARY SCHOOL,Ard Mhuire,Cavan,,Cavan,admin@stclarescavan.ie,0494332671,Alma Leonard,Cavan County Council,Catholic,428,120,548
231,IOMAIR N S,Killimor,Ballinasloe,Co. Galway,Galway,principal@killimorns.ie,0909676428,Aisling Mary Thornton,Galway County Council,Catholic,65,71,136
232,LAURAGH NATIONAL SCHOOL,Lauragh Lower,Co. Kerry,,Kerry,lauraghprincipal@gmail.com,0646683578,Miriam O'Sullivan,Kerry County Council,Catholic,12,5,17
233,BRUREE NATIONAL SCHOOL,Bruree,Co. Limerick,,Limerick,office@brureens.ie,06390896,Gerard Kelleher,Limerick County Council,Catholic,71,97,168
234,THE HUNT N S,Castle Street,Mohill,Co. Leitrim,Leitrim,huntnsmohill@gmail.com,0719631326,Rachael Stewart,Leitrim County Council,Church Of Ireland,8,10,18
235,S N MUIRE GAN SMAL,Coars,Mastergeehy,Co. Kerry,Kerry,coarsns@gmail.com,0669472647,Michael O'Sullivan,Kerry County Council,Catholic,15,25,40
236,LISSIVIGEEN MXD N S,Lissivigeen,Killarney,Co. Kerry,Kerry,lissivigeenscoil@gmail.com,0646632579,Acting Principal Ellen Cagney,Kerry County Council,Catholic,142,127,269
237,KILCORNEY MIXED N S,Kilcorney,Rathcoole,Mallow,Cork,kilcorneynationalschool@gmail.com,02958380,Roisin Crowley / Roche,Cork County Council,Catholic,15,5,20
238,St. Nicholas Church of Ireland School,Blackabbey,Adare,Co. Limerick,Limerick,stnicholasadare@gmail.com,061396683,Tanya Brown,Limerick County Council,Church Of Ireland,30,24,54
239,MILLTOWN N S,Monea,Milltown,Co. Cavan,Cavan,milltownns@gmail.com,0499522802,Keith Conefrey,Cavan County Council,Catholic,81,92,173
240,CASTLEALACK N S,Castlelack,Bandon,Co. Cork,Cork,castlelackns@gmail.com,0238843786,Oonagh O'Sullivan,Cork County Council,Catholic,29,27,56
241,ROCKFIELD N S,Rockfield National School,Knocknashangan,Ballyshannon,Donegal,rockfieldns@gmail.com,0719852860,Benny Byrne,Donegal County Council,Catholic,24,25,49
242,Newtownwhite Educate Together NS,Ballysakeery,Ballina,Co. Mayo,Mayo,newtownwhite@gmail.com,09632728,Caroline Walkin,Mayo County Council,Multi Denominational,30,29,59
243,S N AN BHAIN MHOIR,Cloghaun,Claregalway,Co. Galway,Galway,info@bawnmorens.ie,091798600,Caoilfhionn Casey,Galway County Council,Catholic,45,63,108
244,CARNANE MXD N S,Carnane,Fedamore,Co. Limerick,Limerick,carnanens@gmail.com,061390343,Mary McGlinchey,Limerick County Council,Catholic,13,17,30
245,SHIELBEGGAN CONVENT,Shielbaggan,New Ross,Co. Wexford,Wexford,shielbagganns.ias@gmail.com,0860210524,Kevin Nimmo,Wexford County Council,Catholic,14,16,30
246,SCOIL MHUIRE,Magherarney,Smithborough,Co. Monaghan,Monaghan,info@magherarneyns.com,04757203,Claire NicGabhann,Monaghan County Council,Catholic,52,47,99
247,BOHER N S,Boher,Ballina,Killaloe PO,Tipperary,admin.boherns@gmail.com,061376199,Brian McKeogh,Tipperary (Nr) County Council,Catholic,52,61,113
248,GEASHILL 1 N S,Geashill,Co. Offaly,,Offaly,geashillnsoffice@gmail.com,0579343754,Mícheál Hyland,Offaly County Council,Catholic,61,65,126
249,CASTLEDRUM N S,Castledrum,Castlemain,Co. Kerry,Kerry,castledrumns69@gmail.com,0669766256,Ciarán Mac Gearailt,Kerry County Council,Catholic,58,49,107
250,BALLINLOUGH N S,Ballinlough,Kells,Co. Meath,Meath,nsballinlough@gmail.com,0469243965,Tanya Farrelly,Meath County Council,Catholic,41,17,58
251,S N LIOS TEILIC,Listellick,Tralee,Co. Kerry,Kerry,info@listellickprimary.com,0667124144,Rosemarie Lawlor,Kerry County Council,Catholic,105,106,211
252,OUR LADYS ABBEY,Blackabbey,Adare,Co. Limerick,Limerick,ourladysabbeyadare@gmail.com,061396753,Mary Lavin,Limerick County Council,Catholic,125,,125
253,GLENFLESK N S,Glenflesk,Killarney,Co. Kerry,Kerry,glenfleskns@gmail.com,0876111190,Paul Favier,Kerry County Council,Catholic,16,19,35
254,RAHEEN NATIONAL SCHOOL,Raheen,Headford,Killarney,Kerry,raheenns1@gmail.com,0647754447,Joan Mullane,Kerry County Council,Catholic,13,21,34
255,CROOM NATIONAL SCHOOL,High Street,Croom,Co. Limerick,Limerick,principal@croomns.ie,061397416,Emmett Murphy,Limerick County Council,Catholic,69,100,169
256,SCOIL NAIS MHUIRE,Drumphea,Bagenalstown,Co. Carlow,Carlow,drumpheans@gmail.com,0599727316,Mairéad Fitzgerald,Carlow County Council,Catholic,24,35,59
257,NEWTOWNGORE N S,Mullyaster,Newtowngore,Co. Leitrim,Leitrim,newtowngorenatschool@gmail.com,0494333955,Zena Anderson,Leitrim County Council,Church Of Ireland,13,17,30
258,ROCKMOUNT MIXED N S,Rockmount,Miltown Malbay,,Clare,office@rockmountns.ie,0657084599,Ciarán Burke,Clare County Council,Catholic,9,14,23
259,MONAGEA NATIONAL SCHOOL,Monagea,Newcastle West,Co. Limerick,Limerick,office@monageans.net,06962805,Bernard Dalton,Limerick County Council,Catholic,95,111,206
260,ST LAURENCES N S,Crookstown,Ballytore,Athy,Kildare,officestlaurences@gmail.com,0598623333,Sean Gordon,Kildare County Council,Catholic,104,155,259
261,RINEEN N S,Rineen,Miltown Malbay,Co. Clare,Clare,principal@rineenschool.com,0657084534,Nicola Sheehan,Clare County Council,Catholic,21,14,35
262,ST JOSEPHS PRIMARY SCHOOL,Murgasty Road,Tipperary Town,,Tipperary,stjosephsnstipp@gmail.com,0867855932,Louise Tobin,Tipperary (Sr) County Council,Catholic,182,10,192
263,BALSCADDEN N S,Balscadden,Ring Commons,Co. Dublin,Dublin,info@balscadden.com,018412579,Christopher White,Fingal County Council,Catholic,99,99,198
264,BALLINADEE N S,Ballinadee,Bandon,Co. Cork,Cork,admin@ballinadeens.ie,0214778554,Linda Harte,Cork County Council,Catholic,54,41,95
265,BURROW N S,Howth Road,Sutton,Dublin 13,Dublin,burrowsecretary@gmail.com,018325784,Lynn Harley,Fingal County Council,Church Of Ireland,107,88,195
266,ST FRANCIS NS,Mullanalamphry,Barnesmore,Co. Donegal,Donegal,stfrancisns@gmail.com,0749722109,Emer Carr,Donegal County Council,Catholic,77,82,159
267,KILLEENDUFF N S,Killeenduff,Easkey,Co. Sligo,Sligo,office@killeenduffns.ie,09649228,Michael McConigley,Sligo County Council,Catholic,13,7,20
268,ST JAMES N S,Cappagh,Askeaton,Co. Limerick,Limerick,cappaghns1@yahoo.ie,06964780,Fiona Keane,Limerick County Council,Catholic,55,55,110
269,KNOCKNAGOSHEL NATIONAL SCHOOL,Knocknagoshel,Tralee,Co. Kerry,Kerry,kate@knocknagoshelns.ie,06846011,Kate McSweeney,Kerry County Council,Catholic,19,21,40
270,GLENMAQUIN N S,Knockbrack,Letterkenny,Co. Donegal,Donegal,glenmaquinns@yahoo.ie,0749147599,Debbie Browne,Donegal County Council,Presbyterian,10,11,21
271,ST JOSEPHS BOYS N S,Terenure Road East,Dublin 6,,Dublin,office@stjosephsterenure.ie,014906905,Anne McCabe,Dublin City Council,Catholic,,363,363
272,POWERSCOURT N S,Cookstown Road,Enniskerry,Co. Wicklow,Wicklow,office@powerscourtns.ie,012863862,Catherine Creed,Wicklow County Council,Church Of Ireland,58,56,114
273,TULLYLEASE MIXED N S,Tullylease,Charleville,Co. Cork,Cork,nstullylease@gmail.com,06383205,Pat Murphy,Cork County Council,Catholic,18,15,33
274,S N LEITIRGEIS,Lettergesh West,Renvyle,Co. Galway,Galway,office@lettergeshns.ie,09543900,Siobhan Hyland,Galway County Council,Catholic,20,19,39
275,S N BHAILE AN CHROSAIGH,Ballyduff,Tralee,Co. Kerry,Kerry,ballincrossigns@gmail.com,0667131700,Meadbh Gleeson (Acting),Kerry County Council,Catholic,9,9,18
276,CLOGHOOLA MIXED N S,Cloughoulamore,Millstreet,Co. Cork,Cork,cloghoulans@gmail.com,02970432,Mary Murphy,Cork County Council,Catholic,4,8,12
277,AGHATUBRID N S,Direen,Caherciveen,Co. Kerry,Kerry,aghatubridnationalschool@gmail.com,0669472736,Sinead Clifford O'Sullivan,Kerry County Council,Catholic,27,21,48
278,MARTINSTOWN N S,Martinstown,Kilmallock,Co. Limerick,Limerick,martinstownns@gmail.com,06388146,Lisa Kirby,Limerick County Council,Catholic,28,26,54
279,GRANAGH NATIONAL SCHOOL,Granagh,Kilmallock,Co. Limerick,Limerick,office@granaghns.ie,061399081,Stephen Doody,Limerick County Council,Catholic,36,38,74
280,STANHOPE STREET PRIMARY SCHOOL,Manor Street,Stoneybatter,Dublin 7,Dublin,admin@stanhopestreetprimary.ie,016716686,Deirdre Delaney,Dublin City Council,Catholic,240,144,384
281,CURRANES N S,Scoil Ide,Curranes,Castleisland,Kerry,principal@curranesns.ie,0667142021,Emer Nelligan,Kerry County Council,Catholic,47,39,86
282,UPPER NEWTOWN N S,Newtown Upper,Faugheen,Carrick-on-Suir,Tipperary,newtownupperns@outlook.com,051641551,Breda Fitzgerald,Tipperary (Sr) County Council,Catholic,28,23,51
283,COOLICK NATIONAL SCHOOL,Coolick,Kilcummin,Killarney,Kerry,coolickns@gmail.com,0669764549,Gearóid O' Sullivan,Kerry County Council,Catholic,60,53,113
284,MACROOM CONVENT N S,New Road,Macroom,Co. Cork,Cork,office@stjosephsprimarymacroom.com,02641847,Alice Kelleher,Cork County Council,Catholic,242,64,306
285,LOUGHGUITANE N S,Dromickbane,Muckross,Killarney,Kerry,loughquittanens@gmail.com,0646634765,Patricia Ann O Donnell,Kerry County Council,Catholic,42,48,90
286,Scoil Bhríde,Scartlea,Muckross,Killarney,Kerry,office@loretonskillarney.com,0646632484,Brian O'Sullivan,Kerry County Council,Catholic,64,65,129
287,CREESLOUGH N S,Creeslough,Letterkenny,Co. Donegal,Donegal,creesloughns@gmail.com,0749138453,Lorraine Starritt,Donegal County Council,Church Of Ireland,12,19,31
288,S N NAOMH TREASA,Killure,Ahascragh,Ballinasloe,Galway,tobareolais@gmail.com,0909688094,Pádraig Dennigan,Galway County Council,Catholic,22,23,45
289,LACKEN MXD N S,Lacken,Blessington,Co. Wicklow,Wicklow,school@lackenns.com,045865086,Fiona Jones,Wicklow County Council,Catholic,42,49,91
290,MOIN AN BHEALAIGH N S,Valleymount,Blessington,Co. Wicklow,Wicklow,office@valleymountns.com,045867289,Conor Forde,Wicklow County Council,Catholic,54,56,110
291,CORLISS N S,Corliss,Killeshandra,Co. Cavan,Cavan,schooloffice@corlissns.ie,0494334888,Maeve Quinn,Cavan County Council,Catholic,11,8,19
292,TASHINNY N S,Tashinny,Ballymahon,Co. Longford,Longford,tashinnyschool@gmail.com,0449357610,Yvonne McHugh,Longford County Council,Church Of Ireland,13,10,23
293,CROCHAN NAOFA N S,Caherdaniel,Killarney,Co. Kerry,Kerry,mcmaunsell@yahoo.co.uk,0669475433,Maria Maunsell,Kerry County Council,Catholic,33,16,49
294,S N ACHADH EOCHAILLE,Ahiohill,Enniskeane,Co. Cork,Cork,info@ahiohillns.ie,0238839477,Lorraine Coomey,Cork County Council,Catholic,28,38,66
